millis,stamp,datetime,doorposition,temp,vcc
1999, 1445808829, "2015/10/25 21:33:49", -1000.00, -1000.00, 0
3999, 1445808831, "2015/10/25 21:33:51", -1000.00, -1000.00, 0
5999, 1445808833, "2015/10/25 21:33:53", -1000.00, -1000.00, 0
7999, 1445808835, "2015/10/25 21:33:55", -1000.00, -1000.00, 0
10000, 1445808837, "2015/10/25 21:33:57", -1000.00, -1000.00, 0
11999, 1445808839, "2015/10/25 21:33:59", -1000.00, -1000.00, 0
14000, 1445808841, "2015/10/25 21:34:1", -1000.00, -1000.00, 0
15998, 1445808843, "2015/10/25 21:34:3", -1000.00, -1000.00, 0
17999, 1445808845, "2015/10/25 21:34:5", -1000.00, -1000.00, 0
19998, 1445808847, "2015/10/25 21:34:7", -1000.00, -1000.00, 0
21999, 1445808849, "2015/10/25 21:34:9", -1000.00, -1000.00, 0
23998, 1445808851, "2015/10/25 21:34:11", -1000.00, -1000.00, 0
26000, 1445808853, "2015/10/25 21:34:13", -1000.00, -1000.00, 0
28000, 1445808855, "2015/10/25 21:34:15", -1000.00, -1000.00, 0
29999, 1445808857, "2015/10/25 21:34:17", -1000.00, -1000.00, 0
32000, 1445808859, "2015/10/25 21:34:19", -1000.00, -1000.00, 0
33998, 1445808861, "2015/10/25 21:34:21", -1000.00, -1000.00, 0
36000, 1445808863, "2015/10/25 21:34:23", -1000.00, -1000.00, 0
37999, 1445808865, "2015/10/25 21:34:25", -1000.00, -1000.00, 0
39999, 1445808867, "2015/10/25 21:34:27", -1000.00, -1000.00, 0
41999, 1445808869, "2015/10/25 21:34:29", -1000.00, -1000.00, 0
43999, 1445808871, "2015/10/25 21:34:31", -1000.00, -1000.00, 0
46000, 1445808873, "2015/10/25 21:34:33", -1000.00, -1000.00, 0
47998, 1445808875, "2015/10/25 21:34:35", -1000.00, -1000.00, 0
49999, 1445808877, "2015/10/25 21:34:37", -1000.00, -1000.00, 0
51999, 1445808879, "2015/10/25 21:34:39", -1000.00, -1000.00, 0
53998, 1445808881, "2015/10/25 21:34:41", -1000.00, -1000.00, 0
55999, 1445808883, "2015/10/25 21:34:43", -1000.00, -1000.00, 0
57999, 1445808885, "2015/10/25 21:34:45", -1000.00, -1000.00, 0
60000, 1445808887, "2015/10/25 21:34:47", -1000.00, -1000.00, 0
62000, 1445808889, "2015/10/25 21:34:49", -1000.00, -1000.00, 0
64000, 1445808891, "2015/10/25 21:34:51", -1000.00, -1000.00, 0
65999, 1445808893, "2015/10/25 21:34:53", -1000.00, -1000.00, 0
67998, 1445808895, "2015/10/25 21:34:55", -1000.00, -1000.00, 0
69999, 1445808897, "2015/10/25 21:34:57", -1000.00, -1000.00, 0
